label_index,word_id,word,hand_type,onehand_label,source_selection_index
0,1157,나,one,0,1
1,1351,너,one,1,2
2,1353,당신,one,2,3
3,1352,저,one,3,4
4,1237,이것,one,4,5
5,1242,사람,two,-1,6
6,3,수어,two,-1,7
7,331,어떻게,two,-1,8
8,436,얼마,one,5,9
9,943,가다,one,6,10
10,1149,오다,one,7,11
11,1148,서다,two,-1,12
12,1295,걷다,one,8,13
13,1274,달리다,two,-1,14
14,1273,일어나다,two,-1,15
15,1138,눕다,two,-1,16
16,1377,자다,one,9,17
17,1143,듣다,one,10,18
18,1185,알다,one,11,19
19,1096,모르다,two,-1,20
20,1144,생각,one,12,21
21,1207,이해,two,-1,22
22,1303,기억,one,13,23
23,1106,잊다,one,14,24
24,2205,잊어버리다,two,-1,25
25,530,묻다,one,15,26
26,2198,알려주다,one,16,27
27,1589,부탁,two,-1,28
28,1597,상담,two,-1,29
29,566,소개,two,-1,30
30,858,제안,two,-1,31
31,2053,동의,two,-1,32
32,2226,거절,two,-1,33
33,2050,계획,two,-1,34
34,1190,방법,two,-1,35
35,504,의미,two,-1,36
36,1193,중요,two,-1,37
37,1282,가능,one,17,38
38,1097,불가능,two,-1,39
39,1384,없다,two,-1,40
40,1107,충분,one,18,41
41,1304,부족,one,19,42
42,1174,맞다,one,20,43
43,1359,틀리다,one,21,44
44,738,좋다,one,22,45
45,1278,싫다,one,23,46
46,1381,괜찮다,one,24,47
47,1133,잘하다,two,-1,48
48,1269,못하다,one,25,49
49,1232,쉽다,two,-1,50
50,1211,어렵다,one,26,51
51,1135,빠르다,one,27,52
52,1337,느리다,two,-1,53
53,1130,원하다,one,28,54
54,1139,믿다,two,-1,55
55,1577,시작,two,-1,56
56,1584,관계,two,-1,57
57,1204,친구,two,-1,58
58,1492,가족,two,-1,59
59,1104,남자,two,-1,60
60,1275,여자,two,-1,61
61,1189,아기,two,-1,62
62,1528,엄마,one,29,63
63,1531,남편,two,-1,64
64,1524,아내,two,-1,65
65,1574,형,two,-1,66
66,1516,누나,two,-1,67
67,1556,오빠,two,-1,68
68,1518,여동생,one,30,69
69,1522,딸,one,31,70
70,1565,할머니,one,32,71
71,1566,할아버지,one,33,72
72,1568,조카,two,-1,73
73,608,친척,two,-1,74
74,1535,부부,two,-1,75
75,2143,신부,one,34,76
76,2144,신혼,two,-1,77
77,239,학부모,two,-1,78
78,140,교수,two,-1,79
79,141,교장,two,-1,80
80,187,간호사,two,-1,81
81,163,의사,two,-1,82
82,174,통역사,two,-1,83
83,159,요리사,two,-1,84
84,147,디자이너,two,-1,85
85,157,예술가,two,-1,86
86,2184,직원,two,-1,87
87,2185,사장,two,-1,88
