label_index,word_id,word,support,accuracy,precision,recall,f1
0,1,고민,5,1.0,1.0,1.0,1.0
1,2,뻔뻔,5,1.0,1.0,1.0,1.0
2,3,수어,5,1.0,1.0,1.0,1.0
3,4,남아,5,1.0,1.0,1.0,1.0
4,5,눈,5,1.0,1.0,1.0,1.0
5,6,독신,5,1.0,1.0,1.0,1.0
6,7,음료수,5,1.0,1.0,1.0,1.0
7,8,발가락,5,1.0,1.0,1.0,1.0
8,9,슬프다,5,1.0,1.0,1.0,1.0
9,10,자극,5,0.8,1.0,0.8,0.888888888888889
10,11,안타깝다,5,1.0,1.0,1.0,1.0
11,12,어색하다,5,0.8,1.0,0.8,0.888888888888889
12,13,여아,5,1.0,1.0,1.0,1.0
13,14,외국인,5,1.0,0.8333333333333334,1.0,0.9090909090909091
14,15,영아,5,1.0,1.0,1.0,1.0
15,16,신사,5,1.0,1.0,1.0,1.0
16,17,뉴질랜드,5,1.0,1.0,1.0,1.0
17,18,나사렛대학교,5,1.0,1.0,1.0,1.0
18,19,알아서,5,0.8,1.0,0.8,0.888888888888889
19,20,장애인,5,1.0,1.0,1.0,1.0
20,21,열아홉번째,5,1.0,1.0,1.0,1.0
21,22,침착,5,1.0,0.8333333333333334,1.0,0.9090909090909091
22,23,성실,5,1.0,1.0,1.0,1.0
23,24,학교연혁,5,1.0,1.0,1.0,1.0
24,25,싫어하다,5,1.0,1.0,1.0,1.0
25,26,급하다,5,1.0,1.0,1.0,1.0
26,27,필기시험,5,1.0,1.0,1.0,1.0
27,28,병문안,5,1.0,1.0,1.0,1.0
28,29,검사,5,1.0,1.0,1.0,1.0
29,30,결승전,5,1.0,1.0,1.0,1.0
30,31,낚시터,5,1.0,1.0,1.0,1.0
31,32,낚시대,5,1.0,1.0,1.0,1.0
32,33,당뇨병,5,1.0,1.0,1.0,1.0
33,34,독서,5,1.0,1.0,1.0,1.0
34,35,매표소,5,1.0,1.0,1.0,1.0
35,36,면역,5,1.0,1.0,1.0,1.0
36,37,감기,5,1.0,0.8333333333333334,1.0,0.9090909090909091
37,38,배드민턴,5,1.0,1.0,1.0,1.0
38,39,변비,5,1.0,1.0,1.0,1.0
39,40,병명,5,1.0,1.0,1.0,1.0
40,41,보건소,5,1.0,1.0,1.0,1.0
41,42,불면증,5,1.0,1.0,1.0,1.0
42,43,불행,5,1.0,1.0,1.0,1.0
43,44,붕대,5,1.0,1.0,1.0,1.0
44,45,사위,5,1.0,1.0,1.0,1.0
45,46,설사,5,1.0,1.0,1.0,1.0
46,47,성병,5,1.0,1.0,1.0,1.0
47,48,방충,5,1.0,1.0,1.0,1.0
48,49,소화제,5,1.0,1.0,1.0,1.0
49,50,손녀,5,1.0,0.8333333333333334,1.0,0.9090909090909091
50,51,손자,5,0.8,1.0,0.8,0.888888888888889
