h5_path,group_name,video_id,word_id,word,label_index,actor_id,camera_id,num_frames,feature_dim,split,pose_detection_rate,right_hand_detection_rate,left_hand_detection_rate,face_detection_rate
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0003_REAL01_D,NIA_SL_WORD0003_REAL01_D,3,수어,6,01,D,94,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0003_REAL01_F,NIA_SL_WORD0003_REAL01_F,3,수어,6,01,F,94,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0003_REAL01_L,NIA_SL_WORD0003_REAL01_L,3,수어,6,01,L,94,208,train,1.0,0.9893617021276596,0.9680851063829787,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0003_REAL01_R,NIA_SL_WORD0003_REAL01_R,3,수어,6,01,R,94,208,train,1.0,0.9468085106382979,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0003_REAL01_U,NIA_SL_WORD0003_REAL01_U,3,수어,6,01,U,94,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL02.h5,NIA_SL_WORD0003_REAL02_D,NIA_SL_WORD0003_REAL02_D,3,수어,6,02,D,103,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL02.h5,NIA_SL_WORD0003_REAL02_F,NIA_SL_WORD0003_REAL02_F,3,수어,6,02,F,103,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL02.h5,NIA_SL_WORD0003_REAL02_L,NIA_SL_WORD0003_REAL02_L,3,수어,6,02,L,103,208,train,1.0,1.0,0.912621359223301,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL02.h5,NIA_SL_WORD0003_REAL02_R,NIA_SL_WORD0003_REAL02_R,3,수어,6,02,R,103,208,train,1.0,0.9223300970873787,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL02.h5,NIA_SL_WORD0003_REAL02_U,NIA_SL_WORD0003_REAL02_U,3,수어,6,02,U,103,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL03.h5,NIA_SL_WORD0003_REAL03_D,NIA_SL_WORD0003_REAL03_D,3,수어,6,03,D,123,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL03.h5,NIA_SL_WORD0003_REAL03_F,NIA_SL_WORD0003_REAL03_F,3,수어,6,03,F,123,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL03.h5,NIA_SL_WORD0003_REAL03_L,NIA_SL_WORD0003_REAL03_L,3,수어,6,03,L,123,208,train,1.0,0.991869918699187,0.7073170731707317,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL03.h5,NIA_SL_WORD0003_REAL03_R,NIA_SL_WORD0003_REAL03_R,3,수어,6,03,R,123,208,train,1.0,0.8130081300813008,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL03.h5,NIA_SL_WORD0003_REAL03_U,NIA_SL_WORD0003_REAL03_U,3,수어,6,03,U,123,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL04.h5,NIA_SL_WORD0003_REAL04_D,NIA_SL_WORD0003_REAL04_D,3,수어,6,04,D,152,208,train,1.0,0.9342105263157895,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL04.h5,NIA_SL_WORD0003_REAL04_F,NIA_SL_WORD0003_REAL04_F,3,수어,6,04,F,152,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL04.h5,NIA_SL_WORD0003_REAL04_L,NIA_SL_WORD0003_REAL04_L,3,수어,6,04,L,152,208,train,1.0,1.0,0.881578947368421,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL04.h5,NIA_SL_WORD0003_REAL04_R,NIA_SL_WORD0003_REAL04_R,3,수어,6,04,R,152,208,train,1.0,0.9407894736842105,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL04.h5,NIA_SL_WORD0003_REAL04_U,NIA_SL_WORD0003_REAL04_U,3,수어,6,04,U,152,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL05.h5,NIA_SL_WORD0003_REAL05_D,NIA_SL_WORD0003_REAL05_D,3,수어,6,05,D,95,208,train,1.0,0.9789473684210527,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL05.h5,NIA_SL_WORD0003_REAL05_F,NIA_SL_WORD0003_REAL05_F,3,수어,6,05,F,95,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL05.h5,NIA_SL_WORD0003_REAL05_L,NIA_SL_WORD0003_REAL05_L,3,수어,6,05,L,95,208,train,1.0,1.0,0.9052631578947369,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL05.h5,NIA_SL_WORD0003_REAL05_R,NIA_SL_WORD0003_REAL05_R,3,수어,6,05,R,95,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL05.h5,NIA_SL_WORD0003_REAL05_U,NIA_SL_WORD0003_REAL05_U,3,수어,6,05,U,95,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL06.h5,NIA_SL_WORD0003_REAL06_D,NIA_SL_WORD0003_REAL06_D,3,수어,6,06,D,116,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL06.h5,NIA_SL_WORD0003_REAL06_F,NIA_SL_WORD0003_REAL06_F,3,수어,6,06,F,116,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL06.h5,NIA_SL_WORD0003_REAL06_L,NIA_SL_WORD0003_REAL06_L,3,수어,6,06,L,116,208,train,1.0,1.0,0.9482758620689655,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL06.h5,NIA_SL_WORD0003_REAL06_R,NIA_SL_WORD0003_REAL06_R,3,수어,6,06,R,116,208,train,1.0,0.8620689655172413,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL06.h5,NIA_SL_WORD0003_REAL06_U,NIA_SL_WORD0003_REAL06_U,3,수어,6,06,U,116,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL07.h5,NIA_SL_WORD0003_REAL07_D,NIA_SL_WORD0003_REAL07_D,3,수어,6,07,D,105,208,val,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL07.h5,NIA_SL_WORD0003_REAL07_F,NIA_SL_WORD0003_REAL07_F,3,수어,6,07,F,105,208,val,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL07.h5,NIA_SL_WORD0003_REAL07_L,NIA_SL_WORD0003_REAL07_L,3,수어,6,07,L,105,208,val,1.0,1.0,0.9333333333333333,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL07.h5,NIA_SL_WORD0003_REAL07_R,NIA_SL_WORD0003_REAL07_R,3,수어,6,07,R,105,208,val,1.0,0.7523809523809524,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL07.h5,NIA_SL_WORD0003_REAL07_U,NIA_SL_WORD0003_REAL07_U,3,수어,6,07,U,105,208,val,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL08.h5,NIA_SL_WORD0003_REAL08_D,NIA_SL_WORD0003_REAL08_D,3,수어,6,08,D,126,208,val,1.0,0.9682539682539683,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL08.h5,NIA_SL_WORD0003_REAL08_F,NIA_SL_WORD0003_REAL08_F,3,수어,6,08,F,126,208,val,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL08.h5,NIA_SL_WORD0003_REAL08_L,NIA_SL_WORD0003_REAL08_L,3,수어,6,08,L,126,208,val,1.0,1.0,0.48412698412698413,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL08.h5,NIA_SL_WORD0003_REAL08_R,NIA_SL_WORD0003_REAL08_R,3,수어,6,08,R,126,208,val,1.0,0.8650793650793651,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL08.h5,NIA_SL_WORD0003_REAL08_U,NIA_SL_WORD0003_REAL08_U,3,수어,6,08,U,126,208,val,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL09.h5,NIA_SL_WORD0003_REAL09_D,NIA_SL_WORD0003_REAL09_D,3,수어,6,09,D,163,208,test,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL09.h5,NIA_SL_WORD0003_REAL09_F,NIA_SL_WORD0003_REAL09_F,3,수어,6,09,F,163,208,test,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL09.h5,NIA_SL_WORD0003_REAL09_L,NIA_SL_WORD0003_REAL09_L,3,수어,6,09,L,163,208,test,1.0,1.0,0.9693251533742331,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL09.h5,NIA_SL_WORD0003_REAL09_R,NIA_SL_WORD0003_REAL09_R,3,수어,6,09,R,163,208,test,1.0,0.9447852760736196,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL09.h5,NIA_SL_WORD0003_REAL09_U,NIA_SL_WORD0003_REAL09_U,3,수어,6,09,U,163,208,test,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0005_REAL01_D,NIA_SL_WORD0005_REAL01_D,5,눈,197,01,D,119,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0005_REAL01_F,NIA_SL_WORD0005_REAL01_F,5,눈,197,01,F,119,208,train,1.0,1.0,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0005_REAL01_L,NIA_SL_WORD0005_REAL01_L,5,눈,197,01,L,119,208,train,1.0,1.0,1.0,0.907563025210084
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0005_REAL01_R,NIA_SL_WORD0005_REAL01_R,5,눈,197,01,R,119,208,train,1.0,0.9915966386554622,1.0,0.9243697478991597
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL01.h5,NIA_SL_WORD0005_REAL01_U,NIA_SL_WORD0005_REAL01_U,5,눈,197,01,U,119,208,train,1.0,0.9831932773109243,1.0,1.0
C:\Users\PJ15\Downloads\수어 영상\1.Training\mediapipe_processed\staging\REAL02.h5,NIA_SL_WORD0005_REAL02_D,NIA_SL_WORD0005_REAL02_D,5,눈,197,02,D,158,208,train,1.0,1.0,1.0,1.0
