epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,6.3680419921875,0.0,6.368237018585205,0.0,0.0,12.93040156364441
1,6.3680419921875,0.0,6.368237018585205,0.0,0.0,0.2858595848083496
2,6.3680419921875,0.0,4.752838611602783,0.0,0.0,0.31549644470214844
3,4.7532958984375,0.0,3.3137900829315186,0.9375,0.5,0.2615516185760498
4,3.31402587890625,0.9375,2.122771978378296,0.9375,0.5,0.24483895301818848
5,2.123138427734375,0.9375,1.3801730871200562,0.9375,0.5,0.24335312843322754
6,1.380126953125,0.9375,0.9530596137046814,0.9375,0.5,0.2550992965698242
7,0.953094482421875,0.9375,0.6938105821609497,0.9375,0.5,0.2649099826812744
8,0.6938018798828125,0.9375,0.5246083736419678,0.9375,0.5,0.24658441543579102
9,0.524566650390625,0.9375,0.401444673538208,0.9375,0.5,0.2553861141204834
10,0.40139007568359375,0.9375,0.3095378875732422,0.9375,0.5,0.24456095695495605
11,0.3095703125,0.9375,0.24182552099227905,1.0,1.0,0.2448432445526123
12,0.24173736572265625,1.0,0.18996182084083557,1.0,1.0,0.24180340766906738
