epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,5.7523193359375,0.0,5.752259254455566,0.0,0.0,14.493399143218994
1,5.7523193359375,0.0,5.752259254455566,0.0,0.0,0.3237800598144531
2,5.7523193359375,0.0,3.7242116928100586,0.9375,0.5,0.38105201721191406
3,3.725341796875,0.9375,2.2623162269592285,0.9375,0.5,0.3127579689025879
4,2.2626953125,0.9375,1.3871018886566162,0.9375,0.5,0.2856130599975586
5,1.387420654296875,0.9375,0.9568417072296143,0.9375,0.5,0.22013211250305176
6,0.956573486328125,0.9375,0.7016624808311462,0.9375,0.5,0.2587616443634033
7,0.7015838623046875,0.9375,0.5400088429450989,0.9375,0.5,0.24886870384216309
8,0.5401077270507812,0.9375,0.4250239431858063,0.9375,0.5,0.29213666915893555
9,0.42504119873046875,0.9375,0.328127384185791,0.9375,0.5,0.29273176193237305
10,0.3281669616699219,0.9375,0.24221834540367126,0.9375,0.5,0.25002574920654297
11,0.2422199249267578,0.9375,0.17589306831359863,1.0,1.0,0.32314300537109375
12,0.1758594512939453,1.0,0.14103035628795624,1.0,1.0,0.3031466007232666
