epoch,train_loss,train_acc,val_loss,val_micro_top1,val_macro_top1,seconds
0,7.323486328125,0.0,7.323779106140137,0.0,0.0,13.686779499053955
1,7.323486328125,0.0,7.323779106140137,0.0,0.0,0.3584287166595459
2,7.323486328125,0.0,4.427009105682373,0.0625,0.03333333507180214,0.34188055992126465
3,4.42822265625,0.0625,2.37748122215271,0.9375,0.5,0.2590065002441406
4,2.37774658203125,0.9375,1.240585207939148,0.9375,0.5,0.33477354049682617
5,1.2408294677734375,0.9375,0.7853671312332153,0.9375,0.5,0.3178091049194336
6,0.78546142578125,0.9375,0.597335934638977,0.9375,0.5,0.28995227813720703
7,0.5972518920898438,0.9375,0.5005680918693542,0.9375,0.5,0.2760765552520752
8,0.5005378723144531,0.9375,0.43224310874938965,0.9375,0.5,0.24925661087036133
9,0.43212890625,0.9375,0.3782656788825989,0.9375,0.5,0.26259613037109375
10,0.3783073425292969,0.9375,0.332808256149292,0.9375,0.5,0.2224748134613037
11,0.3328857421875,0.9375,0.2848126292228699,0.9375,0.5,0.2783019542694092
12,0.2848625183105469,0.9375,0.22992148995399475,0.9375,0.5,0.3168644905090332
13,0.2299671173095703,0.9375,0.1673109531402588,0.9375,0.5,0.3041505813598633
14,0.1673412322998047,0.9375,0.1129336804151535,1.0,1.0,0.2864542007446289
15,0.11290931701660156,1.0,0.08473269641399384,1.0,1.0,0.2915067672729492
